Sexo,Idade do morador na data de referência,Cor ou raça,... sabe ler e escrever?,Qual é o ano/série/semestre que ... frequenta?,Qual foi o curso mais elevado que ... frequentou anteriormente?,"Na semana de ... a ... (semana de referência), ... trabalhou ou estagiou, durante pelo menos 1 hora, em alguma atividade remunerada em dinheiro?",Condição no domicílio,"Rendimento mensal habitual do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)","Rendimento mensal habitual de todos os trabalhos para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho)",Número de pessoas no domicílio,Qual foi o curso mais elevado que ... frequentou anteriormente?2,"Número de componentes do domicílio (exclusive as pessoas cuja condição no domicílio era pensionista, empregado doméstico ou parente do empregado doméstico)",Anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental - SISTEMA DE 9 ANOS,Posição na ocupação no trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade (com subcategorias de empregados),Posição na ocupação e categoria do emprego do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade,"Rendimento mensal efetivo do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)"
Homem,29,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",1,Regular do ensino fundamental ou do 1º grau,1,9 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.045,00 "
Homem,14,Parda,Sim,Oitava (o) ,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,63,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,46,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Superior - graduação,3,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,6,Parda,Sim,Primeira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,42,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  2.500,00 "," R$  2.500,00 ",4,Não aplicável,4,16 anos ou mais de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  2.500,00 "
Mulher,46,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  500,00 "," R$  500,00 ",3,Regular do ensino fundamental ou do 1º grau,3,4 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada," R$  500,00 "
Homem,58,Parda,Sim,Não aplicável,Não aplicável,Não,Outro parente,Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,25,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  200,00 "," R$  200,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Conta-própria,Conta-própria, R$  -   
Mulher,47,Parda,Sim,Não aplicável,Não aplicável,Sim,"Pai, mãe, padrasto ou madrasta"," R$  1.045,00 "," R$  1.045,00 ",2,Superior - graduação,2,15 anos de estudo,Conta-própria,Conta-própria," R$  1.045,00 "
Mulher,23,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.500,00 "," R$  1.500,00 ",5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Conta-própria,Conta-própria," R$  1.500,00 "
Mulher,43,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.500,00 "," R$  1.500,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Conta-própria,Conta-própria," R$  1.000,00 "
Homem,21,Parda,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,34,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  200,00 "," R$  200,00 ",5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Conta-própria,Conta-própria," R$  100,00 "
Mulher,18,Parda,Sim,Curso não classificado em séries ou anos,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,49,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.000,00 "," R$  1.000,00 ",6,Regular do ensino médio óu do 2º grau,6,12 anos de estudo,Conta-própria,Conta-própria," R$  700,00 "
Mulher,5,Parda,Não,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,6,Não aplicável,6,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,53,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,71,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Antigo primário (elementar),2,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,18,Amarela,Sim,Segunda (o),Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,4,Não aplicável,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,43,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.700,00 "," R$  1.700,00 ",4,Especialização de nível superior,4,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  3.300,00 "
Homem,16,Parda,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,7,Não aplicável,7,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,36,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",3,Especialização de nível superior,3,16 anos ou mais de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Homem,43,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  3.000,00 "," R$  3.000,00 ",3,Regular do ensino fundamental ou do 1º grau,3,7 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  3.000,00 "
Mulher,48,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  800,00 "," R$  800,00 ",5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Conta-própria,Conta-própria," R$  1.000,00 "
Mulher,15,Parda,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,19,Branca,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,66,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",1,Regular do ensino médio óu do 2º grau,1,12 anos de estudo,Conta-própria,Conta-própria," R$  1.045,00 "
Mulher,40,Preta,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.045,00 "
Mulher,40,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  60,00 "," R$  60,00 ",4,Regular do ensino fundamental ou do 1º grau,4,8 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Empregado no setor público sem carteira de trabalho assinada, R$  -   
Mulher,17,Parda,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,62,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,5 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Homem,65,Parda,Não,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  300,00 "," R$  300,00 ",2,Regular do ensino fundamental ou do 1º grau,2,3 anos de estudo,Conta-própria,Conta-própria," R$  300,00 "
Mulher,25,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,78,Branca,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Alfabetização de jovens e adultos,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,31,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,6,Parda,Não,Primeira (o),Não aplicável,Não aplicável,Enteado(a),Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,56,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  200,00 "," R$  200,00 ",4,Regular do ensino fundamental ou do 1º grau,4,5 anos de estudo,Conta-própria,Conta-própria, R$  -   
Homem,29,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.000,00 "," R$  1.000,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregador,Empregador," R$  1.045,00 "
Mulher,29,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  400,00 "," R$  400,00 ",4,Regular do ensino médio óu do 2º grau,4,11 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada," R$  400,00 "
Homem,23,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  50,00 "," R$  50,00 ",1,Regular do ensino médio óu do 2º grau,1,11 anos de estudo,Conta-própria,Conta-própria," R$  50,00 "
Homem,38,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  5.000,00 "," R$  8.000,00 ",3,Especialização de nível superior,3,16 anos ou mais de estudo,Empregador,Empregador," R$  1.500,00 "
Mulher,52,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  3.500,00 "," R$  3.500,00 ",2,Especialização de nível superior,2,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  3.500,00 "
Mulher,35,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  2.000,00 "," R$  2.000,00 ",3,Especialização de nível superior,3,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  3.700,00 "
Mulher,8,Parda,Sim,Terceira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,74,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Antigo primário (elementar),2,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,8,Parda,Sim,Terceira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,75,Parda,Sim,Não aplicável,Não aplicável,Não,Irmão ou irmã,Não aplicável,Não aplicável,8,Classe de alfabetização - CA,7,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,23,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,60,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,5,Antigo primário (elementar),5,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,62,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,29,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a)," R$  600,00 "," R$  600,00 ",7,Regular do ensino médio óu do 2º grau,7,12 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada," R$  600,00 "
Mulher,26,Parda,Sim,Não aplicável,Não aplicável,Não,Convivente,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,23,Parda,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,46,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,63,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Antigo primário (elementar),3,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,55,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  120,00 "," R$  120,00 ",3,Regular do ensino fundamental ou do 1º grau,3,3 anos de estudo,Conta-própria,Conta-própria," R$  80,00 "
Homem,12,Parda,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,64,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  48,00 "," R$  48,00 ",3,Antigo primário (elementar),3,6 anos de estudo,Conta-própria,Conta-própria," R$  48,00 "
Homem,56,Branca,Não,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  200,00 "," R$  200,00 ",3,Classe de alfabetização - CA,3,Sem instrução e menos de 1 ano de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  200,00 "
Mulher,54,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  120,00 "," R$  120,00 ",3,Antigo primário (elementar),3,2 anos de estudo,Conta-própria,Conta-própria," R$  120,00 "
Mulher,6,Branca,Não,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,64,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Antigo primário (elementar),3,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,67,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Antigo primário (elementar),5,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,48,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino fundamental ou do 1º grau,3,6 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.045,00 "
Homem,64,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Alfabetização de jovens e adultos,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,44,Branca,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,25,Branca,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,11 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,15,Parda,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,22,Parda,Sim,Não aplicável,Não aplicável,Não,Enteado(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Mulher,4,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,46,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.600,00 "," R$  1.600,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.601,00 "
Homem,14,Parda,Sim,Oitava (o) ,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,33,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  522,00 "," R$  522,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  696,00 "
Mulher,26,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,10 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada," R$  1.045,00 "
Homem,39,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,58,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Classe de alfabetização - CA,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,57,Branca,Sim,Quinta (o),Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Não aplicável,2,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,2,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,65,Branca,Sim,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
